date,temperature
2025-01-01,-5.4
2025-01-02,-8.5
2025-01-03,-9.9
2025-01-04,-7.2
2025-01-05,-13.0
2025-01-06,-10.2
2025-01-07,-8.5
2025-01-08,-7.0
2025-01-09,-10.0
2025-01-10,-7.4
2025-01-11,-9.6
2025-01-12,-8.0
2025-01-13,-13.5
2025-01-14,-5.8
2025-01-15,-10.1
2025-01-16,-5.3
2025-01-17,-8.3
2025-01-18,-7.3
2025-01-19,-12.6
2025-01-20,-11.3
2025-01-21,-11.8
2025-01-22,-5.7
2025-01-23,-7.1
2025-01-24,-10.2
2025-01-25,-11.5
2025-01-26,-13.1
2025-01-27,-11.9
2025-01-28,-8.1
2025-01-29,-7.7
2025-01-30,-5.5
2025-01-31,-10.7
2025-02-01,-6.5
2025-02-02,-6.3
2025-02-03,-7.6
2025-02-04,-6.3
2025-02-05,-4.3
2025-02-06,-9.2
2025-02-07,-7.3
2025-02-08,-11.2
2025-02-09,-7.0
2025-02-10,-8.3
2025-02-11,-10.0
2025-02-12,-6.4
2025-02-13,-3.6
2025-02-14,-5.9
2025-02-15,-10.0
2025-02-16,-5.0
2025-02-17,-10.7
2025-02-18,-3.9
2025-02-19,-1.7
2025-02-20,-2.8
2025-02-21,-2.1
2025-02-22,-6.1
2025-02-23,-9.0
2025-02-24,-6.7
2025-02-25,-3.5
2025-02-26,-2.0
2025-02-27,-4.2
2025-02-28,-0.9
2025-03-01,-8.4
2025-03-02,-5.8
2025-03-03,-8.5
2025-03-04,-4.9
2025-03-05,0.9
2025-03-06,-4.7
2025-03-07,0.7
2025-03-08,-0.9
2025-03-09,-3.1
2025-03-10,-7.0
2025-03-11,-2.7
2025-03-12,0.2
2025-03-13,-3.4
2025-03-14,-2.6
2025-03-15,-5.1
2025-03-16,-0.5
2025-03-17,0.6
2025-03-18,2.0
2025-03-19,2.2
2025-03-20,1.5
2025-03-21,-2.7
2025-03-22,-0.8
2025-03-23,0.6
2025-03-24,1.1
2025-03-25,-2.6
2025-03-26,-1.3
2025-03-27,-0.2
2025-03-28,5.0
2025-03-29,-1.7
2025-03-30,-0.3
2025-03-31,0.8
2025-04-01,5.1
2025-04-02,1.3
2025-04-03,2.7
2025-04-04,5.7
2025-04-05,-0.1
2025-04-06,-0.1
2025-04-07,-0.6
2025-04-08,7.4
2025-04-09,3.8
2025-04-10,6.2
2025-04-11,4.8
2025-04-12,7.9
2025-04-13,5.5
2025-04-14,5.3
2025-04-15,5.9
2025-04-16,5.8
2025-04-17,10.4
2025-04-18,4.6
2025-04-19,7.2
2025-04-20,4.4
2025-04-21,4.8
2025-04-22,7.5
2025-04-23,7.1
2025-04-24,10.4
2025-04-25,6.2
2025-04-26,4.8
2025-04-27,5.1
2025-04-28,5.3
2025-04-29,12.2
2025-04-30,11.1
2025-05-01,12.8
2025-05-02,12.9
2025-05-03,7.6
2025-05-04,12.5
2025-05-05,9.1
2025-05-06,11.0
2025-05-07,12.6
2025-05-08,14.6
2025-05-09,14.6
2025-05-10,9.5
2025-05-11,13.3
2025-05-12,11.0
2025-05-13,11.2
2025-05-14,16.9
2025-05-15,17.5
2025-05-16,16.8
2025-05-17,12.0
2025-05-18,15.5
2025-05-19,15.0
2025-05-20,17.8
2025-05-21,17.7
2025-05-22,19.9
2025-05-23,15.6
2025-05-24,16.4
2025-05-25,16.0
2025-05-26,14.7
2025-05-27,16.0
2025-05-28,16.6
2025-05-29,20.3
2025-05-30,16.3
2025-05-31,17.7
2025-06-01,15.8
2025-06-02,17.3
2025-06-03,15.9
2025-06-04,15.6
2025-06-05,20.2
2025-06-06,15.9
2025-06-07,16.2
2025-06-08,18.5
2025-06-09,13.8
2025-06-10,21.2
2025-06-11,20.3
2025-06-12,20.5
2025-06-13,20.6
2025-06-14,15.1
2025-06-15,14.2
2025-06-16,19.5
2025-06-17,19.9
2025-06-18,21.5
2025-06-19,23.2
2025-06-20,18.7
2025-06-21,16.7
2025-06-22,21.6
2025-06-23,15.7
2025-06-24,20.1
2025-06-25,22.1
2025-06-26,24.8
2025-06-27,18.0
2025-06-28,21.1
2025-06-29,16.0
2025-06-30,19.0
2025-07-01,21.4
2025-07-02,24.2
2025-07-03,19.0
2025-07-04,23.1
2025-07-05,17.7
2025-07-06,18.7
2025-07-07,23.0
2025-07-08,23.3
2025-07-09,19.1
2025-07-10,18.9
2025-07-11,18.3
2025-07-12,22.3
2025-07-13,16.3
2025-07-14,21.8
2025-07-15,23.2
2025-07-16,24.4
2025-07-17,25.5
2025-07-18,22.6
2025-07-19,22.6
2025-07-20,19.8
2025-07-21,20.9
2025-07-22,17.9
2025-07-23,22.4
2025-07-24,25.7
2025-07-25,20.7
2025-07-26,21.6
2025-07-27,17.0
2025-07-28,19.3
2025-07-29,20.9
2025-07-30,23.6
2025-07-31,20.7
2025-08-01,20.8
2025-08-02,17.5
2025-08-03,19.3
2025-08-04,22.0
2025-08-05,19.3
2025-08-06,22.2
2025-08-07,21.7
2025-08-08,18.3
2025-08-09,20.4
2025-08-10,16.1
2025-08-11,19.1
2025-08-12,22.8
2025-08-13,19.0
2025-08-14,21.7
2025-08-15,18.5
2025-08-16,19.2
2025-08-17,15.1
2025-08-18,17.4
2025-08-19,20.4
2025-08-20,17.4
2025-08-21,18.5
2025-08-22,16.7
2025-08-23,14.7
2025-08-24,17.4
2025-08-25,18.6
2025-08-26,17.5
2025-08-27,17.9
2025-08-28,17.0
2025-08-29,15.6
2025-08-30,19.0
2025-08-31,14.8
2025-09-01,16.3
2025-09-02,14.5
2025-09-03,14.7
2025-09-04,13.7
2025-09-05,14.7
2025-09-06,14.0
2025-09-07,13.7
2025-09-08,14.5
2025-09-09,15.9
2025-09-10,18.2
2025-09-11,17.8
2025-09-12,15.9
2025-09-13,15.2
2025-09-14,12.3
2025-09-15,11.9
2025-09-16,16.0
2025-09-17,16.8
2025-09-18,13.3
2025-09-19,15.6
2025-09-20,11.0
2025-09-21,12.2
2025-09-22,7.2
2025-09-23,12.1
2025-09-24,15.5
2025-09-25,12.0
2025-09-26,13.9
2025-09-27,11.1
2025-09-28,5.4
2025-09-29,5.8
2025-09-30,8.5
2025-10-01,13.9
2025-10-02,11.8
2025-10-03,10.3
2025-10-04,10.6
2025-10-05,5.9
2025-10-06,4.5
2025-10-07,7.6
2025-10-08,11.7
2025-10-09,6.5
2025-10-10,7.8
2025-10-11,4.8
2025-10-12,4.2
2025-10-13,2.4
2025-10-14,9.0
2025-10-15,5.3
2025-10-16,9.1
2025-10-17,3.7
2025-10-18,3.9
2025-10-19,0.0
2025-10-20,4.0
2025-10-21,4.4
2025-10-22,4.8
2025-10-23,3.2
2025-10-24,5.2
2025-10-25,-0.6
2025-10-26,4.6
2025-10-27,1.5
2025-10-28,3.3
2025-10-29,2.9
2025-10-30,0.2
2025-10-31,-0.8
2025-11-01,2.5
2025-11-02,-0.3
2025-11-03,-1.7
2025-11-04,1.1
2025-11-05,4.3
2025-11-06,1.9
2025-11-07,0.9
2025-11-08,-0.2
2025-11-09,0.8
2025-11-10,-5.1
2025-11-11,0.3
2025-11-12,0.6
2025-11-13,1.7
2025-11-14,-3.2
2025-11-15,-0.1
2025-11-16,-1.4
2025-11-17,-4.9
2025-11-18,0.7
2025-11-19,-4.6
2025-11-20,-1.0
2025-11-21,-5.3
2025-11-22,-6.1
2025-11-23,-3.9
2025-11-24,-3.4
2025-11-25,-4.0
2025-11-26,-4.6
2025-11-27,-2.4
2025-11-28,-4.1
2025-11-29,-6.0
2025-11-30,-6.9
2025-12-01,-6.4
2025-12-02,-6.0
2025-12-03,-6.8
2025-12-04,-4.0
2025-12-05,-6.5
2025-12-06,-4.4
2025-12-07,-4.2
2025-12-08,-5.6
2025-12-09,-7.4
2025-12-10,-5.4
2025-12-11,-3.4
2025-12-12,-7.9
2025-12-13,-5.4
2025-12-14,-11.6
2025-12-15,-5.0
2025-12-16,-6.8
2025-12-17,-4.2
2025-12-18,-5.3
2025-12-19,-4.5
2025-12-20,-8.8
2025-12-21,-12.1
2025-12-22,-11.1
2025-12-23,-6.2
2025-12-24,-3.5
2025-12-25,-8.6
2025-12-26,-7.7
2025-12-27,-7.0
2025-12-28,-11.2
2025-12-29,-11.5
2025-12-30,-6.7
2025-12-31,-10.1
